ts,high,low,open,close,change,transaction,next_open
1437436800,9.06,8.9,9,8.9,-0.17,59,8.9
1437523200,9.01,8.9,8.9,8.92,0.02,25,8.92
1437609600,8.99,8.33,8.92,8.63,-0.29,90,8.38
1437696000,8.7,8.38,8.38,8.64,0.01,56,8.62
1437955200,8.62,7.98,8.62,8,-0.64,104,7.78
1438041600,7.83,7.2,7.78,7.3,-0.7,664,7.35
1438128000,7.49,7.2,7.35,7.34,0.04,105,7.5
1438214400,7.96,7.45,7.5,7.79,0.45,149,7.84
1438300800,7.84,7.63,7.84,7.65,-0.14,60,7.7
1438560000,7.7,7.41,7.7,7.45,-0.2,40,7.45
1438646400,7.67,7.1,7.45,7.13,-0.32,72,7.5
1438732800,7.53,7.3,7.5,7.4,0.27,33,7.36
1438819200,7.5,7.33,7.36,7.35,-0.05,23,7.35
1438905600,7.45,7.26,7.35,7.44,0.09,15,7.44
1439164800,7.5,7.4,7.44,7.5,0.06,48,7.8
1439251200,7.8,7.45,7.8,7.45,-0.05,52,7.1
1439337600,7.39,7.1,7.1,7.18,-0.27,55,7.6
1439424000,7.89,7.5,7.6,7.5,0.32,199,7.53
1439510400,7.6,7.5,7.53,7.6,0.1,76,7.35
1439769600,7.59,7.35,7.35,7.36,-0.24,44,7.36
1439856000,7.5,7.36,7.36,7.39,0.03,31,7.46
1439942400,7.46,7.1,7.46,7.13,-0.26,79,6.9
1440028800,7.25,6.85,6.9,7.25,0.12,61,7.2
1440115200,7.2,6.7,7.2,6.7,-0.55,108,6.41
1440374400,6.41,6.03,6.41,6.03,-0.67,168,5.43
1440460800,6.12,5.43,5.43,5.81,-0.22,139,5.26
1440547200,6.09,5.26,5.26,6.01,0.2,104,6.61
1440633600,6.61,6.31,6.61,6.61,0.6,162,6.63
1440720000,7.26,6.63,6.63,7.1,0.49,247,7.35
1440979200,7.35,7.1,7.35,7.15,0.05,125,7.65
1441065600,7.7,7.14,7.65,7.33,0.18,118,7.4
1441152000,7.4,7.13,7.4,7.3,-0.03,41,7.44
1441238400,7.55,7.21,7.44,7.5,0.2,115,7.55
1441324800,7.86,7.53,7.55,7.76,0.26,190,7.95
1441584000,7.95,7.66,7.95,7.66,-0.1,65,7.66
1441670400,7.84,7.63,7.66,7.63,-0.03,55,7.7
1441756800,7.83,7.66,7.7,7.78,0.15,87,7.79
